Contract_ID,Contract_Date,Next_3M_Date,Start_Spot,End_Spot,Contract_Forward,Exposure,Partial_Hedged,Unhedged,Spot_Change
112,2017-04-03,2017-07-03,1.3378,1.3005,1.3386349977530336,800000.0,667.9982024268227,-29840.000000000087,-0.03730000000000011
113,2017-05-01,2017-08-01,1.368,1.2534,1.369058823529412,800000.0,847.0588235296007,-91680.00000000003,-0.11460000000000004
114,2017-06-01,2017-09-01,1.3513,1.2394,1.3528519774293415,800000.0,1241.5819434732357,-89519.99999999991,-0.11189999999999989
115,2017-07-03,2017-10-02,1.3005,1.2507,1.301830849868963,800000.0,1064.6798951704284,-39840.00000000005,-0.049800000000000066
116,2017-08-01,2017-11-01,1.2534,1.2865,1.2544947271230005,800000.0,875.7816984003241,26479.999999999927,0.03309999999999991
117,2017-09-01,2017-12-01,1.2394,1.2681,1.2403588330712985,800000.0,767.0664570387231,22959.99999999996,0.028699999999999948
118,2017-10-02,2018-01-01,1.2507,1.2542,1.2507623806079953,800000.0,49.904486396279424,2800.000000000047,0.0035000000000000586
119,2017-11-01,2018-02-01,1.2865,1.2266,1.287366416402684,800000.0,693.1331221471382,-47920.00000000005,-0.059900000000000064
120,2017-12-01,2018-03-01,1.2681,1.2836,1.2693336833965276,800000.0,986.9467172221036,12400.000000000055,0.01550000000000007
121,2018-01-01,2018-04-02,1.2542,1.291,1.2552632788929057,800000.0,850.6231143245557,29439.999999999956,0.036799999999999944
122,2018-02-01,2018-05-01,1.2266,1.2846,1.2274560518444666,800000.0,684.8414755733501,46400.000000000044,0.05800000000000005
123,2018-03-01,2018-06-01,1.2836,1.2947,1.2851679413671038,800000.0,1254.3530936829584,8879.99999999991,0.011099999999999888
124,2018-04-02,2018-07-02,1.291,1.3184,1.29318873569523,800000.0,1750.9885561841188,21920.000000000073,0.02740000000000009
125,2018-05-01,2018-08-01,1.2846,1.3003,1.286681231306082,800000.0,1664.9850448656523,12560.000000000038,0.015700000000000047
126,2018-06-01,2018-09-03,1.2947,1.309,1.2967325973734702,800000.0,1626.0778987762237,11439.999999999984,0.01429999999999998
